"name","version","license","declared_license","license_files","stage_path"
"@borewit/text-codec","0.2.2","MIT","MIT","LICENSE.txt","gateway/node_modules/@borewit/text-codec"
"@fast-csv/format","4.3.5","MIT","MIT","LICENSE","gateway/node_modules/@fast-csv/format"
"@fast-csv/parse","4.3.6","MIT","MIT","LICENSE","gateway/node_modules/@fast-csv/parse"
"@hono/node-server","1.19.17","MIT","MIT","LICENSE","gateway/node_modules/@hono/node-server"
"@img/colour","1.1.0","MIT","MIT","LICENSE.md","gateway/node_modules/@img/colour"
"@img/sharp-win32-x64","0.35.4","Apache-2.0 AND LGPL-3.0-or-later","Apache-2.0 AND LGPL-3.0-or-later","LICENSE","gateway/node_modules/@img/sharp-win32-x64"
"@isaacs/cliui","8.0.2","ISC","ISC","LICENSE.txt","gateway/node_modules/@isaacs/cliui"
"@modelcontextprotocol/client","2.0.0","MIT","MIT","LICENSE","gateway/node_modules/@modelcontextprotocol/client"
"@modelcontextprotocol/core","2.0.0","MIT","MIT","LICENSE","gateway/node_modules/@modelcontextprotocol/core"
"@modelcontextprotocol/node","2.0.0","MIT","MIT","LICENSE","gateway/node_modules/@modelcontextprotocol/node"
"@modelcontextprotocol/sdk","1.30.0","MIT","MIT","LICENSE","gateway/node_modules/@modelcontextprotocol/sdk"
"@modelcontextprotocol/server","2.0.0","MIT","MIT","LICENSE","gateway/node_modules/@modelcontextprotocol/server"
"@opendocsg/pdf2md","0.2.9","MIT","MIT","LICENSE","gateway/node_modules/@opendocsg/pdf2md"
"@pdf-lib/standard-fonts","1.0.0","MIT","MIT","LICENSE.md","gateway/node_modules/@pdf-lib/standard-fonts"
"@pdf-lib/upng","1.0.1","MIT","MIT","LICENSE","gateway/node_modules/@pdf-lib/upng"
"@pkgjs/parseargs","0.11.0","MIT","MIT","LICENSE","gateway/node_modules/@pkgjs/parseargs"
"@puppeteer/browsers","3.2.1","Apache-2.0","Apache-2.0","","gateway/node_modules/@puppeteer/browsers"
"@samverschueren/stream-to-observable","0.3.1","MIT","MIT","license","gateway/node_modules/@samverschueren/stream-to-observable"
"@supabase/auth-js","2.112.4","MIT","MIT","LICENSE","gateway/node_modules/@supabase/auth-js"
"@supabase/functions-js","2.112.4","MIT","MIT","LICENSE","gateway/node_modules/@supabase/functions-js"
"@supabase/phoenix","0.4.5","MIT","MIT","LICENSE.md","gateway/node_modules/@supabase/phoenix"
"@supabase/postgrest-js","2.112.4","MIT","MIT","LICENSE","gateway/node_modules/@supabase/postgrest-js"
"@supabase/realtime-js","2.112.4","MIT","MIT","LICENSE","gateway/node_modules/@supabase/realtime-js"
"@supabase/storage-js","2.112.4","MIT","MIT","LICENSE","gateway/node_modules/@supabase/storage-js"
"@supabase/supabase-js","2.112.4","MIT","MIT","LICENSE","gateway/node_modules/@supabase/supabase-js"
"@tiptap/core","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/core"
"@tiptap/extension-blockquote","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-blockquote"
"@tiptap/extension-bold","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-bold"
"@tiptap/extension-bullet-list","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-bullet-list"
"@tiptap/extension-code","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-code"
"@tiptap/extension-code-block","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-code-block"
"@tiptap/extension-document","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-document"
"@tiptap/extension-dropcursor","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-dropcursor"
"@tiptap/extension-gapcursor","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-gapcursor"
"@tiptap/extension-hard-break","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-hard-break"
"@tiptap/extension-heading","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-heading"
"@tiptap/extension-horizontal-rule","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-horizontal-rule"
"@tiptap/extension-image","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-image"
"@tiptap/extension-italic","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-italic"
"@tiptap/extension-link","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-link"
"@tiptap/extension-list","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-list"
"@tiptap/extension-list-item","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-list-item"
"@tiptap/extension-list-keymap","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-list-keymap"
"@tiptap/extension-ordered-list","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-ordered-list"
"@tiptap/extension-paragraph","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-paragraph"
"@tiptap/extension-strike","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-strike"
"@tiptap/extension-table","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-table"
"@tiptap/extension-table-cell","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-table-cell"
"@tiptap/extension-table-header","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-table-header"
"@tiptap/extension-table-row","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-table-row"
"@tiptap/extension-text","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-text"
"@tiptap/extension-underline","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extension-underline"
"@tiptap/extensions","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/extensions"
"@tiptap/pm","3.30.5","MIT","MIT","LICENSE","gateway/node_modules/@tiptap/pm"
"@tiptap/starter-kit","3.30.5","MIT","MIT","LICENSE.md","gateway/node_modules/@tiptap/starter-kit"
"@tokenizer/inflate","0.4.1","MIT","MIT","LICENSE","gateway/node_modules/@tokenizer/inflate"
"@tokenizer/token","0.3.0","MIT","MIT","","gateway/node_modules/@tokenizer/token"
"@types/debug","4.1.13","MIT","MIT","LICENSE","gateway/node_modules/@types/debug"
"@types/linkify-it","3.0.5","MIT","MIT","LICENSE","gateway/node_modules/@types/linkify-it"
"@types/linkify-it","5.0.0","MIT","MIT","LICENSE","gateway/node_modules/prosemirror-markdown/node_modules/@types/linkify-it"
"@types/markdown-it","13.0.9","MIT","MIT","LICENSE","gateway/node_modules/@types/markdown-it"
"@types/markdown-it","14.2.0","MIT","MIT","LICENSE","gateway/node_modules/prosemirror-markdown/node_modules/@types/markdown-it"
"@types/mdast","4.0.4","MIT","MIT","LICENSE","gateway/node_modules/@types/mdast"
"@types/mdurl","1.0.5","MIT","MIT","LICENSE","gateway/node_modules/@types/mdurl"
"@types/mdurl","2.0.0","MIT","MIT","LICENSE","gateway/node_modules/prosemirror-markdown/node_modules/@types/mdurl"
"@types/ms","2.1.0","MIT","MIT","LICENSE","gateway/node_modules/@types/ms"
"@types/node","14.18.63","MIT","MIT","LICENSE","gateway/node_modules/@fast-csv/format/node_modules/@types/node"
"@types/unist","3.0.3","MIT","MIT","LICENSE","gateway/node_modules/@types/unist"
"@vscode/ripgrep","1.18.0","MIT","MIT","LICENSE","gateway/node_modules/@vscode/ripgrep"
"@vscode/ripgrep-win32-x64","1.18.0","MIT","MIT","LICENSE","gateway/node_modules/@vscode/ripgrep-win32-x64"
"@wonderwhy-er/desktop-commander","0.2.47","MIT","MIT","LICENSE","gateway/node_modules/@wonderwhy-er/desktop-commander"
"accepts","2.0.0","MIT","MIT","LICENSE","gateway/node_modules/accepts"
"ajv","8.20.0","MIT","MIT","LICENSE","gateway/node_modules/ajv"
"ajv-formats","3.0.1","MIT","MIT","LICENSE","gateway/node_modules/ajv-formats"
"ansi-escapes","3.2.0","MIT","MIT","license","gateway/node_modules/ansi-escapes"
"ansi-regex","2.1.1","MIT","MIT","license","gateway/node_modules/has-ansi/node_modules/ansi-regex"
"ansi-regex","3.0.1","MIT","MIT","license","gateway/node_modules/log-update/node_modules/ansi-regex"
"ansi-regex","5.0.1","MIT","MIT","license","gateway/node_modules/string-width-cjs/node_modules/ansi-regex"
"ansi-regex","6.3.0","MIT","MIT","license","gateway/node_modules/ansi-regex"
"ansi-styles","2.2.1","MIT","MIT","license","gateway/node_modules/listr-update-renderer/node_modules/ansi-styles"
"ansi-styles","3.2.1","MIT","MIT","license","gateway/node_modules/listr-verbose-renderer/node_modules/ansi-styles"
"ansi-styles","4.3.0","MIT","MIT","license","gateway/node_modules/ansi-styles"
"ansi-styles","6.2.3","MIT","MIT","license","gateway/node_modules/wrap-ansi/node_modules/ansi-styles"
"any-observable","0.3.0","MIT","MIT","license","gateway/node_modules/any-observable"
"anymatch","3.1.3","ISC","ISC","LICENSE","gateway/node_modules/anymatch"
"archiver","5.3.2","MIT","MIT","LICENSE","gateway/node_modules/archiver"
"archiver-utils","2.1.0","MIT","MIT","LICENSE","gateway/node_modules/archiver-utils"
"archiver-utils","3.0.4","MIT","MIT","LICENSE","gateway/node_modules/zip-stream/node_modules/archiver-utils"
"arg","5.0.2","MIT","MIT","LICENSE.md","gateway/node_modules/arg"
"argparse","1.0.10","MIT","MIT","LICENSE","gateway/node_modules/js-yaml/node_modules/argparse"
"argparse","2.0.1","Python-2.0","Python-2.0","LICENSE","gateway/node_modules/argparse"
"async","3.2.6","MIT","MIT","LICENSE","gateway/node_modules/async"
"bail","2.0.2","MIT","MIT","license","gateway/node_modules/bail"
"balanced-match","1.0.2","MIT","MIT","LICENSE.md","gateway/node_modules/balanced-match"
"base64-js","1.5.1","MIT","MIT","LICENSE","gateway/node_modules/base64-js"
"big-integer","1.6.52","Unlicense","Unlicense","LICENSE","gateway/node_modules/big-integer"
"binary","0.3.0","MIT","MIT","","gateway/node_modules/binary"
"binary-extensions","2.3.0","MIT","MIT","license","gateway/node_modules/binary-extensions"
"bl","4.1.0","MIT","MIT","LICENSE.md","gateway/node_modules/bl"
"bluebird","3.4.7","MIT","MIT","LICENSE","gateway/node_modules/bluebird"
"body-parser","2.3.0","MIT","MIT","LICENSE","gateway/node_modules/body-parser"
"brace-expansion","1.1.18","MIT","MIT","LICENSE","gateway/node_modules/archiver-utils/node_modules/brace-expansion"
"brace-expansion","2.1.4","MIT","MIT","LICENSE","gateway/node_modules/brace-expansion"
"braces","3.0.3","MIT","MIT","LICENSE","gateway/node_modules/braces"
"buffer","5.7.1","MIT","MIT","LICENSE","gateway/node_modules/buffer"
"buffer-crc32","0.2.13","MIT","MIT","LICENSE","gateway/node_modules/buffer-crc32"
"buffer-indexof-polyfill","1.0.2","MIT","MIT","LICENSE","gateway/node_modules/buffer-indexof-polyfill"
"buffers","0.1.1","MIT (manual resolution)","","","gateway/node_modules/buffers"
"bundle-name","4.1.0","MIT","MIT","license","gateway/node_modules/bundle-name"
"bytes","3.0.0","MIT","MIT","LICENSE","gateway/node_modules/serve-handler/node_modules/bytes"
"bytes","3.1.2","MIT","MIT","LICENSE","gateway/node_modules/bytes"
"caffeinate","1.0.1","MIT","MIT","","gateway/node_modules/caffeinate"
"call-bind-apply-helpers","1.0.2","MIT","MIT","LICENSE","gateway/node_modules/call-bind-apply-helpers"
